종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
14680,한솔케미칼,"82,200",600,0.74,"82,200","82,100","27,750","2,279,569,900","80,400","82,600","80,400","5,000",원(KRW),"11,295,195","928,465,029,000",
4710,한솔테크닉스,"15,200",50,0.33,"15,200","15,150","95,852","1,455,056,650","15,150","15,350","15,100","5,000",원(KRW),"22,109,878","336,070,145,600",
4150,한솔홀딩스,"6,400",30,0,"6,400","6,390","40,318","257,346,370","6,390","6,400","6,350","5,000",원(KRW),"46,359,871","296,703,174,400",
25750,한솔홈데코,"1,685",35,2.12,"1,685","1,680","650,261","1,087,505,365","1,650","1,685","1,650","1,000",원(KRW),"80,565,149","135,752,276,065",
4960,한신공영,"18,400",-100,0.54,"18,400","18,350","18,707","343,153,550","18,350","18,700","18,150","5,000",원(KRW),"10,166,455","187,062,772,000",
11700,한신기계,"3,120",30,0.97,"3,130","3,120","159,950","497,675,330","3,080","3,145","3,070",500,원(KRW),"32,446,151","101,231,991,120",
1750,한양증권,"7,560",110,1.48,"7,560","7,550","75,787","571,802,450","7,450","7,580","7,450","5,000",원(KRW),"12,728,534","96,227,717,040",
18880,한온시스템,"8,530",10,0.12,"8,530","8,520","805,759","6,871,352,950","8,450","8,580","8,450",100,원(KRW),"533,800,000","4,553,314,000,000",
9420,한올바이오파마,"12,600",30,0,"12,650","12,600","141,461","1,785,125,550","12,550","12,700","12,550",500,원(KRW),"52,240,638","658,232,038,800",
14130,한익스프레스,"61,500",700,1.15,"61,500","60,900","2,173","132,249,000","59,600","61,700","59,600","5,000",원(KRW),"1,200,000","73,800,000,000",
3300,한일시멘트,"119,500","1,000",0.84,"119,500","119,000","7,524","894,504,000","116,000","120,500","116,000","5,000",원(KRW),"7,545,313","901,664,903,500",
2220,한일철강,"22,600",-350,1.53,"22,650","22,600","1,139","25,751,500","22,700","22,700","22,550","5,000",원(KRW),"2,040,000","46,104,000,000",
51600,한전KPS,"58,800","2,300",4.07,"58,800","58,700","175,757","10,257,384,300","56,100","59,000","56,100",200,원(KRW),"45,000,000","2,646,000,000,000",
